,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Lavrentiya,100,RU,1571020437,80,65.58,-170.99,275.06,6.152
376,Tshikapa,100,CD,1571020438,97,-6.42,20.79,293.19,0.656
377,Severo-Kurilsk,51,RU,1571020439,63,50.68,156.12,276.35,13.307
378,Coquimbo,75,CL,1571020441,82,-29.95,-71.34,286.15,5.7
379,Dingle,70,PH,1571020442,74,11.0,122.67,302.01,3.382
380,Oranjestad,20,AW,1571020443,83,12.52,-70.03,301.15,7.2
381,Mount Darwin,0,ZW,1571020445,69,-16.77,31.58,290.28,1.731
382,Aljezur,87,PT,1571020446,94,37.31,-8.8,292.04,0.45
383,San Ignacio,100,PE,1571020447,93,-5.15,-79.0,288.97,1.072
384,Puri,90,ID,1571020448,28,-7.54,112.45,308.88,3.073
385,Ballina,100,IE,1571020450,93,54.11,-9.15,281.48,0.45
386,Kruisfontein,0,ZA,1571020452,91,-34.0,24.73,285.36,3.381
387,Ponca City,1,US,1571020453,62,36.73,-97.07,288.71,3.1
388,Puerto Escondido,40,MX,1571020454,65,15.86,-97.07,299.15,1.705
389,Olga,1,US,1571020456,72,34.11,-118.17,293.15,2.1
390,Alabino,44,RU,1571020457,87,54.32,39.86,280.93,0.89
391,Elliot,24,ZA,1571020458,96,-31.33,27.85,281.02,1.885
392,Novo Aripuana,89,BR,1571020460,94,-5.12,-60.38,296.37,0.551
393,La Pintada,40,CO,1571020461,100,5.75,-75.61,288.15,1.0
394,Gummidipundi,40,IN,1571020462,83,13.42,80.13,302.15,2.6
395,Mugumu,78,TZ,1571020464,70,-1.84,34.67,292.5,1.689
396,Haines Junction,0,CA,1571020465,70,60.75,-137.51,269.06,1.173
397,Mount Gambier,40,AU,1571020466,67,-37.83,140.78,290.15,6.2
398,Iowa City,90,US,1571020467,61,41.66,-91.53,281.15,2.1
399,Kodiak,1,US,1571020469,75,39.95,-94.76,282.15,1.412
400,Bayeux,75,BR,1571020470,100,-7.13,-34.94,296.15,4.1
401,Asasa,100,ET,1571020471,93,7.1,39.2,280.82,1.241
402,Lakes Entrance,37,AU,1571020472,43,-37.88,147.99,297.59,2.24
403,Norrtalje,75,SE,1571020474,93,59.76,18.7,283.15,3.6
404,Olean,1,US,1571020475,65,42.08,-78.43,284.15,4.6
405,Quang Ngai,100,VN,1571020476,80,15.12,108.8,299.75,6.35
406,Manggar,87,ID,1571020478,79,-2.88,108.27,300.45,6.437
407,Mazatlan,75,MX,1571020479,88,23.22,-106.42,302.59,1.101
408,Valera,100,VE,1571020480,80,9.31,-70.61,293.32,2.27
409,Sukumo,0,JP,1571020481,75,32.94,132.72,293.71,7.677
410,Tagusao,100,PH,1571020483,72,9.19,117.81,301.86,4.012
411,Trelew,0,AR,1571020484,59,-43.25,-65.31,277.92,2.787
412,Grand Gaube,75,MU,1571020485,88,-20.01,57.66,294.82,1.5
413,Hingatungan,59,PH,1571020486,72,10.58,125.19,301.16,1.105
414,Pulawy,0,PL,1571020487,87,51.42,21.97,286.48,2.1
415,Yumen,0,CN,1571020489,31,40.29,97.04,279.85,10.945
416,Walvis Bay,100,NA,1571020490,87,-22.95,14.51,290.37,3.6
417,Nyaunglebin,81,MM,1571020491,74,17.95,96.73,302.6,1.26
418,Moose Factory,90,CA,1571020492,93,51.26,-80.61,279.15,2.1
419,Kaberamaido,100,UG,1571020494,98,1.76,33.16,290.6,1.397
420,Eydhafushi,0,MV,1571020495,68,5.1,73.07,301.19,2.919
421,Puerto del Rosario,0,ES,1571020496,72,28.5,-13.86,293.15,1.0
422,Lashio,4,MM,1571020498,66,22.93,97.75,299.2,0.164
423,Ojinaga,90,US,1571020499,100,29.56,-104.41,288.15,0.923
424,Luderitz,0,NA,1571020500,76,-26.65,15.16,287.15,4.1
425,Buzovna,0,AZ,1571020501,82,40.52,50.11,291.15,4.6
426,Northam,75,AU,1571020503,55,-31.65,116.67,291.15,7.2
427,Estevan,1,CA,1571020504,55,49.14,-102.99,275.93,2.6
428,Maniitsoq,0,GL,1571020505,54,65.42,-52.9,270.95,1.979
429,Marti,20,CU,1571020507,94,21.15,-77.45,298.15,3.6
430,Heihe,0,RU,1571020508,28,50.24,127.51,276.95,5.799
431,Fare,0,PF,1571020509,75,-16.7,-151.02,298.29,7.433
432,Suleja,40,NG,1571020510,88,9.18,7.18,295.15,1.5
433,Sobolevo,78,RU,1571020512,95,54.43,31.9,281.18,1.972
434,Sini,54,ID,1571020513,30,-9.75,124.52,303.94,5.193
435,Pa Daet,75,TH,1571020514,88,19.5,99.99,299.26,1.5
436,Bend,1,US,1571020515,66,44.06,-121.32,285.15,2.6
437,LaPlace,1,US,1571020517,78,30.07,-90.48,298.15,2.6
438,Lahij,74,YE,1571020518,64,13.06,44.88,300.56,4.264
439,La Orilla,3,MX,1571020519,87,18.0,-102.23,298.52,0.749
440,Cape Coast,1,GH,1571020520,87,5.11,-1.24,298.28,4.727
441,Bereda,20,ES,1571020522,93,43.27,-7.54,286.48,3.6
442,Hasaki,75,JP,1571020523,77,35.73,140.83,293.15,5.1
443,Skjervoy,9,NO,1571020524,60,70.03,20.97,275.99,3.313
444,Iralaya,100,HN,1571020525,75,15.0,-83.23,301.89,5.656
445,Zyryanka,100,RU,1571020527,92,65.73,150.89,267.13,14.803
446,Smithers,40,CA,1571020528,96,54.78,-127.17,276.15,2.6
447,Herrin,1,US,1571020529,66,37.8,-89.03,285.37,3.1
448,Rumonge,32,BI,1571020530,79,-3.97,29.44,293.48,0.665
449,Gibsons,20,CA,1571020532,81,49.4,-123.51,284.26,1.5
450,Mitsamiouli,3,KM,1571020533,74,-11.38,43.28,298.93,2.972
451,Cortez,1,US,1571020534,30,37.35,-108.58,280.15,3.6
452,Dongkan,99,CN,1571020535,63,34.0,119.83,290.73,8.806
453,Axim,88,GH,1571020537,97,4.87,-2.24,295.76,1.297
454,Melipilla,20,CL,1571020538,100,-33.69,-71.21,290.15,1.0
455,Tupaciguara,8,BR,1571020539,32,-18.59,-48.7,300.15,2.1
456,Ocean City,75,US,1571020540,73,30.44,-86.61,298.15,3.1
457,Yakeshi,0,CN,1571020542,29,49.28,120.73,274.61,5.763
458,Bama,100,CN,1571020543,81,24.14,107.25,294.57,1.371
459,Itoman,75,JP,1571020544,88,26.12,127.67,299.15,5.1
460,Acapulco,75,MX,1571020545,83,16.86,-99.88,302.15,5.1
461,Mombetsu,40,JP,1571020547,37,44.35,143.35,286.15,3.6
462,Sistranda,20,NO,1571020548,74,63.73,8.83,278.71,1.5
463,Bosobolo,9,CD,1571020549,97,4.19,19.88,293.98,0.541
464,Senador Jose Porfirio,25,BR,1571020550,77,-2.59,-51.95,299.23,4.01
465,Ampanihy,65,MG,1571020552,83,-24.69,44.75,294.1,0.652
466,Mbala,5,ZM,1571020553,85,-8.85,31.37,289.24,2.065
467,Coahuayana,69,MX,1571020554,89,18.62,-100.35,296.4,0.903
468,Pokhara,0,NP,1571020555,70,28.21,83.99,295.6,0.554
469,Zaozerne,0,UA,1571020557,84,51.37,23.94,284.1,3.696
470,Inhambane,73,MZ,1571020558,72,-23.87,35.38,294.84,5.382
471,Mandera,100,ET,1571020559,76,3.94,41.86,299.26,1.34
472,Severo-Yeniseyskiy,100,RU,1571020560,96,60.37,93.04,274.9,2.872
473,Eyemouth,54,GB,1571020565,99,55.87,-2.09,280.37,4.02
474,Bathsheba,40,BB,1571020566,83,13.22,-59.52,300.15,6.7
475,La Solana,24,ES,1571020567,45,38.94,-3.24,293.15,8.9
476,Erbaa,40,TR,1571020568,93,40.67,36.56,285.15,2.1
477,Neiafu,75,TO,1571020570,61,-18.65,-173.98,300.15,3.1
478,Sungaipenuh,99,ID,1571020571,56,-2.08,101.38,297.26,1.453
479,Atar,69,MR,1571020573,47,20.52,-13.05,300.6,6.403
480,Nelson,100,CA,1571020574,99,49.49,-117.29,274.13,1.238
481,Chandler,40,US,1571020576,22,33.31,-111.84,302.15,3.1
482,Tvrdonice,25,CZ,1571020577,100,48.76,16.99,286.48,2.1
483,Capreol,90,CA,1571020578,93,46.71,-80.92,278.15,5.7
484,Khash,0,IR,1571020580,23,28.22,61.21,291.23,4.707
485,Santa Clara,40,CU,1571020581,94,22.41,-79.97,298.15,1.5
486,Cabinda,100,AO,1571020582,83,-5.56,12.19,298.82,4.74
487,Katsuura,20,JP,1571020583,60,33.93,134.5,295.93,4.6
488,Kahului,20,US,1571020585,48,20.89,-156.47,304.15,10.3
489,Camandag,70,PH,1571020586,74,10.89,122.29,302.01,3.382
490,Mumbwa,53,ZM,1571020587,47,-14.99,27.06,292.98,2.162
491,Murray Bridge,0,AU,1571020588,56,-35.12,139.28,292.04,2.24
492,Uttaradit,20,TH,1571020590,83,17.63,100.1,308.71,1.0
493,Uarini,36,BR,1571020591,91,-2.98,-65.16,296.78,0.455
494,Sao Miguel do Araguaia,0,BR,1571020593,57,-13.28,-50.16,299.14,1.214
495,Arcachon,0,FR,1571020594,88,44.65,-1.18,291.15,4.6
496,Nagato,20,JP,1571020595,46,34.35,131.14,296.15,6.2
497,Sokolo,23,ML,1571020596,61,14.74,-6.12,300.11,3.548
498,Pangai,40,TO,1571020598,65,-19.8,-174.35,300.15,4.1
499,Feldkirchen an der Donau,90,AT,1571020599,100,48.34,14.05,284.26,0.5
500,Cherepovets,59,RU,1571020600,86,59.13,37.92,280.38,5.567
501,Marsabit,74,KE,1571020601,75,2.34,37.99,294.61,11.311
502,Savannah Bight,99,HN,1571020603,75,16.45,-85.85,300.86,4.063
503,Almeirim,0,BR,1571020604,76,-1.53,-52.58,299.49,3.251
504,Ustka,77,PL,1571020605,81,54.58,16.86,289.36,6.722
505,Mayumba,100,GA,1571020607,91,-3.44,10.65,297.45,5.748
506,Zyryanskoye,100,RU,1571020608,75,56.83,86.62,281.72,3.752
507,Ambulu,100,ID,1571020609,86,-8.35,113.61,297.96,4.785
508,Kungurtug,0,RU,1571020610,28,50.6,97.53,277.5,0.323
509,Sioux Lookout,75,CA,1571020612,93,50.1,-91.92,275.15,3.6
510,Ridgetown,90,CA,1571020613,61,42.44,-81.88,283.71,4.1
511,Terre Haute,1,US,1571020614,62,39.47,-87.41,286.15,1.5
512,Barcelos,98,BR,1571020615,88,-0.97,-62.93,296.92,1.052
513,Zambezi,98,ZM,1571020617,90,-13.55,23.12,292.27,1.14
514,Pisco,90,PE,1571020618,72,-13.71,-76.2,291.15,4.6
515,Cuamba,0,MZ,1571020619,84,-14.8,36.54,293.82,1.66
516,Aykhal,85,RU,1571020620,92,65.95,111.51,265.48,3.281
517,Ahuimanu,40,US,1571020622,69,21.44,-157.84,303.15,4.6
518,Oktyabrskiy,74,RU,1571020623,87,55.61,37.97,280.93,3.0
519,Los Lunas,1,US,1571020624,29,34.81,-106.76,290.37,3.1
520,Hami,0,CN,1571020625,29,42.84,93.51,287.47,1.602
521,Presidente Medici,57,BR,1571020627,82,-11.18,-61.9,296.94,0.499
522,Opoczno,6,PL,1571020628,85,51.38,20.29,287.59,5.082
523,Rocha,17,UY,1571020629,68,-34.48,-54.34,279.51,3.301
524,Nenjiang,0,CN,1571020631,27,49.17,125.23,276.74,5.128
525,Seybaplaya,90,MX,1571020632,94,19.65,-90.67,298.15,1.133
526,Aneho,20,TG,1571020633,94,6.23,1.6,298.15,2.1
527,Tateyama,75,JP,1571020635,88,36.66,137.31,290.93,1.0
528,Byron Bay,40,AU,1571020636,56,-28.65,153.62,299.82,5.7
529,Alausi,100,EC,1571020637,97,-2.2,-78.83,286.19,0.668
530,Nioro,100,GM,1571020638,84,13.79,-15.05,297.63,2.995
531,Bonavista,98,CA,1571020640,81,48.65,-53.11,282.59,3.13
532,Tuatapere,100,NZ,1571020641,89,-46.13,167.69,285.61,1.478
533,Guarapari,3,BR,1571020642,78,-20.67,-40.5,296.15,4.1
534,Antofagasta,10,CL,1571020643,67,-23.65,-70.4,290.15,6.7
535,Paramonga,54,PE,1571020645,89,-10.68,-77.82,288.2,3.052
536,Tehachapi,1,US,1571020646,24,35.13,-118.45,297.15,2.1
537,Monjas,100,GT,1571020647,97,14.5,-89.87,289.57,2.083
538,Cabedelo,75,BR,1571020648,100,-6.97,-34.84,296.15,4.1
539,Westport,1,US,1571020650,67,41.14,-73.36,290.37,3.6
540,Kudus,100,ID,1571020651,42,-6.82,110.84,306.25,1.988
541,Kipini,20,KE,1571020652,94,-2.53,40.53,297.15,3.514
542,Verkhnyaya Inta,94,RU,1571020653,89,65.99,60.32,273.67,2.552
543,Mehamn,98,NO,1571020655,74,71.03,27.85,273.65,1.833
544,Camopi,65,GF,1571020656,92,3.17,-52.33,295.15,0.966
545,Irtyshskiy,100,RU,1571020657,91,58.33,68.13,279.37,4.527
546,Karachi,1,PK,1571020658,73,24.87,67.03,295.15,2.199
547,Abilene,1,US,1571020659,37,32.45,-99.73,295.37,3.1
548,Oswego,1,US,1571020661,81,37.17,-95.11,285.37,2.6
549,Maragogi,49,BR,1571020663,79,-9.01,-35.22,298.76,8.053
550,Talaya,100,RU,1571020664,71,55.79,84.89,280.93,4.02
551,Yurla,97,RU,1571020666,94,59.33,54.32,278.95,3.328
552,Iquique,75,CL,1571020667,72,-20.22,-70.14,291.15,1.5
